coverage_id,collection_checked,pointer_source,verdict,detail,coverage_extents,collection_extents,cell_type,shadow_collection,shadow_kind,shadow_extents,shadow_bytes,shadow_tiles,follow_up
cmip6_downscaled_tasmin_KACE_1_0_G_ssp126_v2_wcs,cmip6_downscaled_tasmin_KACE_1_0_G_ssp126_wcs_v2,petascopedb,matched,,"31390,443,460","31390,443,460",float,,,,,,
cmip6_downscaled_tasmin_KACE_1_0_G_ssp245_v2_wcs,cmip6_downscaled_tasmin_KACE_1_0_G_ssp245_wcs_v2,petascopedb,matched,,"31390,443,460","31390,443,460",float,,,,,,
cmip6_downscaled_tasmin_KACE_1_0_G_ssp370_v2_wcs,cmip6_downscaled_tasmin_KACE_1_0_G_ssp370_wcs_v2,petascopedb,matched,,"31390,443,460","31390,443,460",float,,,,,,
cmip6_downscaled_tasmin_KACE_1_0_G_ssp585_v2_wcs,cmip6_downscaled_tasmin_KACE_1_0_G_ssp585_wcs_v2,petascopedb,matched,,"31390,443,460","31390,443,460",float,,,,,,
cmip6_downscaled_tasmin_MIROC6_historical_v2_wcs,cmip6_downscaled_tasmin_MIROC6_historical_wcs_v2,petascopedb,matched,,"18250,443,460","18250,443,460",float,,,,,,
cmip6_downscaled_tasmin_MIROC6_ssp126_v2_wcs,cmip6_downscaled_tasmin_MIROC6_ssp126_wcs_v2,petascopedb,matched,,"31390,443,460","31390,443,460",float,,,,,,
cmip6_downscaled_tasmin_MIROC6_ssp245_v2_wcs,cmip6_downscaled_tasmin_MIROC6_ssp245_wcs_v2,petascopedb,matched,,"31390,443,460","31390,443,460",float,,,,,,
cmip6_downscaled_tasmin_MIROC6_ssp370_v2_wcs,cmip6_downscaled_tasmin_MIROC6_ssp370_wcs_v2,petascopedb,matched,,"31390,443,460","31390,443,460",float,,,,,,
cmip6_downscaled_tasmin_MIROC6_ssp585_v2_wcs,cmip6_downscaled_tasmin_MIROC6_ssp585_wcs_v2,petascopedb,matched,,"31390,443,460","31390,443,460",float,,,,,,
cmip6_downscaled_tasmin_MPI_ESM1_2_HR_historical_v2_wcs,cmip6_downscaled_tasmin_MPI_ESM1_2_HR_historical_wcs_v2,petascopedb,matched,,"18250,443,460","18250,443,460",float,,,,,,
cmip6_downscaled_tasmin_MPI_ESM1_2_HR_ssp126_v2_wcs,cmip6_downscaled_tasmin_MPI_ESM1_2_HR_ssp126_wcs_v2,petascopedb,matched,,"31390,443,460","31390,443,460",float,,,,,,
cmip6_downscaled_tasmin_MPI_ESM1_2_HR_ssp245_v2_wcs,cmip6_downscaled_tasmin_MPI_ESM1_2_HR_ssp245_wcs_v2,petascopedb,matched,,"31390,443,460","31390,443,460",float,,,,,,
cmip6_downscaled_tasmin_MPI_ESM1_2_HR_ssp370_v2_wcs,cmip6_downscaled_tasmin_MPI_ESM1_2_HR_ssp370_wcs_v2,petascopedb,matched,,"31390,443,460","31390,443,460",float,,,,,,
cmip6_downscaled_tasmin_MPI_ESM1_2_HR_ssp585_v2_wcs,cmip6_downscaled_tasmin_MPI_ESM1_2_HR_ssp585_wcs_v2,petascopedb,matched,,"31390,443,460","31390,443,460",float,,,,,,
cmip6_downscaled_tasmin_MRI_ESM2_0_historical_v2_wcs,cmip6_downscaled_tasmin_MRI_ESM2_0_historical_wcs_v2,petascopedb,matched,,"18250,443,460","18250,443,460",float,,,,,,
cmip6_downscaled_tasmin_MRI_ESM2_0_ssp126_v2_wcs,cmip6_downscaled_tasmin_MRI_ESM2_0_ssp126_wcs_v2,petascopedb,matched,,"31390,443,460","31390,443,460",float,,,,,,
cmip6_downscaled_tasmin_MRI_ESM2_0_ssp245_v2_wcs,cmip6_downscaled_tasmin_MRI_ESM2_0_ssp245_wcs_v2,petascopedb,matched,,"31390,443,460","31390,443,460",float,,,,,,
cmip6_downscaled_tasmin_MRI_ESM2_0_ssp370_v2_wcs,cmip6_downscaled_tasmin_MRI_ESM2_0_ssp370_wcs_v2,petascopedb,matched,,"31390,443,460","31390,443,460",float,,,,,,
cmip6_downscaled_tasmin_MRI_ESM2_0_ssp585_v2_wcs,cmip6_downscaled_tasmin_MRI_ESM2_0_ssp585_wcs_v2,petascopedb,matched,,"31390,443,460","31390,443,460",float,,,,,,
cmip6_downscaled_tasmin_NorESM2_MM_historical_v2_wcs,cmip6_downscaled_tasmin_NorESM2_MM_historical_wcs_v2,petascopedb,matched,,"18250,443,460","18250,443,460",float,,,,,,
cmip6_downscaled_tasmin_NorESM2_MM_ssp126_v2_wcs,cmip6_downscaled_tasmin_NorESM2_MM_ssp126_wcs_v2,petascopedb,matched,,"31390,443,460","31390,443,460",float,,,,,,
cmip6_downscaled_tasmin_NorESM2_MM_ssp245_v2_wcs,cmip6_downscaled_tasmin_NorESM2_MM_ssp245_wcs_v2,petascopedb,matched,,"31390,443,460","31390,443,460",float,,,,,,
cmip6_downscaled_tasmin_NorESM2_MM_ssp370_v2_wcs,cmip6_downscaled_tasmin_NorESM2_MM_ssp370_wcs_v2,petascopedb,matched,,"31390,443,460","31390,443,460",float,,,,,,
cmip6_downscaled_tasmin_NorESM2_MM_ssp585_v2_wcs,cmip6_downscaled_tasmin_NorESM2_MM_ssp585_wcs_v2,petascopedb,matched,,"31390,443,460","31390,443,460",float,,,,,,
cmip6_downscaled_tasmin_TaiESM1_historical_v2_wcs,cmip6_downscaled_tasmin_TaiESM1_historical_wcs_v2,petascopedb,matched,,"18250,443,460","18250,443,460",float,,,,,,
cmip6_downscaled_tasmin_TaiESM1_ssp126_v2_wcs,cmip6_downscaled_tasmin_TaiESM1_ssp126_wcs_v2,petascopedb,matched,,"31390,443,460","31390,443,460",float,,,,,,
cmip6_downscaled_tasmin_TaiESM1_ssp245_v2_wcs,cmip6_downscaled_tasmin_TaiESM1_ssp245_wcs_v2,petascopedb,matched,,"31390,443,460","31390,443,460",float,,,,,,
cmip6_downscaled_tasmin_TaiESM1_ssp370_v2_wcs,cmip6_downscaled_tasmin_TaiESM1_ssp370_wcs_v2,petascopedb,matched,,"31390,443,460","31390,443,460",float,,,,,,
cmip6_downscaled_tasmin_TaiESM1_ssp585_v2_wcs,cmip6_downscaled_tasmin_TaiESM1_ssp585_wcs_v2,petascopedb,matched,,"31390,443,460","31390,443,460",float,,,,,,
cmip6_downscaled_tasmin_v2_wms,cmip6_downscaled_tasmin_wms_v2_2026_03_19_12_52_32_4842,petascopedb,matched,,"2,2,2,443,460","2,2,2,443,460",float,,,,,,
cmip6_downscaled_tasmin_wms,cmip6_downscaled_tasmin_wms_2025_11_03_14_13_38_1493,petascopedb,matched,,"2,2,2,443,460","2,2,2,443,460",float,cmip6_downscaled_tasmin_wms,SHADOW duplicate (same shape as the live array),"2,2,2,443,460",3260480,6,
cmip6_ffmc,cmip6_ffmc_2026_05_01_10_06_40_3566,petascopedb,matched,,"5,25680,178,569","5,25680,178,569",float,cmip6_ffmc,SHADOW duplicate (same shape as the live array),"5,25680,178,569",53010998800,13088,
cmip6_fwi,cmip6_fwi_2026_05_01_09_29_49_8758,petascopedb,matched,,"5,25680,178,569","5,25680,178,569",float,cmip6_fwi,SHADOW stale (different shape from the live array),"5,44165,178,569",91167979480,22509,
cmip6_indicators_cf_wms,cmip6_indicators_cf_wms,petascopedb,matched,,"14,5,151,288,43","14,5,151,288,43","cd float, cdd long, csdi long, cwd long, dw long, ftc long, hd float, r10mm long, rx1day long, rx5day long, su long, wsdi long",,,,,,
cmip6_isi,cmip6_isi,petascopedb,matched,,"5,25680,178,569","5,25680,178,569",float,,,,,,
cmip6_monthly_cf_wcs,cmip6_monthly_cf_wcs,petascopedb,matched,,"14,5,1812,288,43","14,5,1812,288,43","clt long, evspsbl float, hfls float, hfss float, pr float, prsn float, psl float, rlds float, rsds float, sfcWind float, siconc long, snw float, tas float, tasmax float, tasmin float, ts float, uas float, vas float",,,,,,
cmip6_monthly_cf_wms,cmip6_monthly_cf_wms,petascopedb,matched,,"14,5,1812,288,43","14,5,1812,288,43","clt long, evspsbl float, hfls float, hfss float, pr float, prsn float, psl float, rlds float, rsds float, sfcWind float, siconc long, snw float, tas float, tasmax float, tasmin float, ts float, uas float, vas float",,,,,,
conus_hydro_segments_doy_climatology,conus_hydro_segments_doy_climatology,petascopedb,matched,,"4,366,2,14,5,56460","4,366,2,14,5,56460","doy_min float, doy_mean float, doy_max float",,,,,,
conus_hydro_segments_doy_climatology_dynamic_historical,conus_hydro_segments_doy_climatology_dynamic_historical,petascopedb,matched,,"1,366,1,14,1,56460","1,366,1,14,1,56460","doy_min float, doy_mean float, doy_max float",,,,,,
conus_hydro_segments_doy_climatology_dynamic_projected,conus_hydro_segments_doy_climatology_dynamic_projected,petascopedb,matched,,"3,366,1,14,4,56460","3,366,1,14,4,56460","doy_min float, doy_mean float, doy_max float",,,,,,
conus_hydro_segments_doy_climatology_static_historical,conus_hydro_segments_doy_climatology_static_historical,petascopedb,matched,,"1,366,1,14,1,56460","1,366,1,14,1,56460","doy_min float, doy_mean float, doy_max float",,,,,,
conus_hydro_segments_doy_climatology_static_projected,conus_hydro_segments_doy_climatology_static_projected,petascopedb,matched,,"3,366,1,14,4,56460","3,366,1,14,4,56460","doy_min float, doy_mean float, doy_max float",,,,,,
conus_hydro_segments_jp_test,conus_hydro_segments_jp_test_2025_12_18_12_59_44_6890,petascopedb,matched,,"2,13,5,4,56460","2,13,5,4,56460","dh3 float, dh15 float, dl3 float, dl16 float, fh1 float, fl1 float, fl3 float, ma12 float, ma13 float, ma14 float, ma15 float, ma16 float, ma17 float, ma18 float, ma19 float, ma20 float, ma21 float, ma22 float, ma23 float, ra1 float, ra3 float, th1 float, tl1 float",conus_hydro_segments_jp_test,SHADOW duplicate (same shape as the live array),"2,13,5,4,56460",2701046400,56460,
